#,Function,J1,,J2,,J3,,J4,
1,3.3v,,,,,,,,
2,GND,,,,,,,,
3,,,,IOB6A,,,,IOT44B,
4,,,,IOB5B,,,,IOT44A,
5,GND,,,,,,,,
6,,IOL7A,LPLL1_T_IN,IOB8A,,IOR49B,,IOT40B,
7,,IOR25B,TMS,IOB8B,,IOR49A,,IOT40A,
8,GND,,,,,,,,
9,,IOR26A,TCK,IOB14A,,IOR45A,,IOT34B,
10,,IOR26B,TDI,IOB14B,,IOR39A,,IOT34A,
11,GND,,,,,,,,
12,,IOR25A,TDO,IOB18A,,IOR38B,,IOT30B,GCLKC_1
13,,IOR31B,RECONFIG_N,IOB18B,,IOR38A,,IOT30A,GCLKT_1
14,GND,,,,,,,,
15,,IOL29A,GCLKT_6,IOB24A,,IOR36B,,IOT27B,GCLKC_0
16,,IOL29B,GCLKC_6,IOB24B,,IOR36A,,IOT27A,GCLKT_0
17,GND,,,,,,,,
18,,IOL45A,LPLL2_T_IN,IOB30A,GCLKT_4,,,IOT17B,
19,,,,IOB30B,GCLKV_4,IOR35A,MSPI_WP,IOT17A,
20,GND,,,,,,,,
21,,IOL47A,,IOB34A,,IOR34B,MSPI_CLK,IOT6B,
22,,IOL47B,,IOB34B,,IOR34A,MSPI_CS,IOT6A,
23,GND,,,,,,,,
24,,IOL49A,,IOB40A,,IOR33B,MSPI_DI,IOT4B,
25,,IOL49B,,IOB40B,,IOR33A,MSPI_DI,IOT4A,
26,GND,,,,,,,,
27,,IOL51A,,IOB43A,,,,IOR30B,MODE1
28,,IOL51B,,IOB43B,,IOR29A,MSPI_HOLD,IOR30A,MODE0
29,GND,,,,,,,,
30,3.3v,,,,,,,,